OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,Dog,Neutered Male,52.0,other,Brown/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Black
Transfer,Dog,Intact Female,13.5,Labrador Retriever Mix,Black/White
Adoption,Cat,Spayed Female,13.5,Domestic Medium Hair Mix,Calico
Adoption,Dog,Neutered Male,22.5,other,Brown Brindle/White
Adoption,Dog,Spayed Female,156.0,other,Black
Transfer,Dog,Spayed Female,364.0,other,White/Black
Euthanasia,Dog,Spayed Female,104.0,German Shepherd Mix,Black/Tan
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,468.0,other,White/Brown
Transfer,Dog,Neutered Male,31.5,Border Collie Mix,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Male,156.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,156.0,other,other
Adoption,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,Tan/White
Transfer,Dog,Neutered Male,260.0,Boxer Mix,Brown Brindle/White
Transfer,Cat,Intact Female,2.0,Domestic Medium Hair Mix,Blue
Transfer,Cat,Spayed Female,208.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Neutered Male,208.0,Cairn Terrier Mix,Tan/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Black/Tan
Adoption,Dog,Neutered Male,104.0,other,White
Return_to_owner,Dog,Neutered Male,468.0,Dachshund Mix,Black/Brown
Return_to_owner,Dog,Neutered Male,260.0,Beagle Mix,Tricolor
Euthanasia,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Fawn/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Intact Male,22.5,Pit Bull Mix,White/Brown
Euthanasia,Cat,Intact Male,312.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Tan
Transfer,Dog,Intact Male,13.5,Chihuahua Shorthair Mix,Black/White
Transfer,Cat,Intact Female,4.5,Domestic Longhair Mix,Calico
Return_to_owner,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Brown
Return_to_owner,Dog,Neutered Male,260.0,Dachshund Mix,Black
Adoption,Dog,Neutered Male,416.0,other,Black
Adoption,Dog,Spayed Female,9.0,Labrador Retriever Mix,Black/White
Euthanasia,Cat,Intact Female,364.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,260.0,other,Black
Adoption,Dog,Neutered Male,52.0,Pit Bull Mix,White/Brown
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Brown/White
Return_to_owner,Dog,Spayed Female,468.0,Labrador Retriever Mix,Chocolate/White
Adoption,Dog,Spayed Female,156.0,Pit Bull Mix,Red/White
Return_to_owner,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Spayed Female,52.0,other,Black/White
Transfer,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Black/Tan
Return_to_owner,Dog,Spayed Female,52.0,other,Brown Brindle
Transfer,Cat,Neutered Male,104.0,Siamese Mix,other
Return_to_owner,Dog,Spayed Female,104.0,other,Brown
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Blue/White
Adoption,Dog,Spayed Female,4.5,other,Tricolor
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Cat,Neutered Male,45.0,Domestic Medium Hair Mix,Cream Tabby
Transfer,Cat,Spayed Female,104.0,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,Calico
Adoption,Dog,Neutered Male,27.0,Labrador Retriever Mix,Yellow
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,52.0,Dachshund Mix,Tan
Transfer,Dog,Intact Female,27.0,Dachshund Mix,Brown/White
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Calico
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,49.5,other,Blue/White
Transfer,Dog,Neutered Male,13.5,Rat Terrier Mix,Tricolor
Return_to_owner,Dog,Spayed Female,104.0,other,Brown
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,Red
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Brown/White
Adoption,Cat,Spayed Female,18.0,other,Calico
Transfer,Dog,Intact Female,18.0,other,Red
Transfer,Cat,Intact Female,22.5,Domestic Shorthair Mix,Torbie
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,other
Transfer,Dog,Neutered Male,364.0,Chihuahua Shorthair Mix,Brown/White
Adoption,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,other
Adoption,Dog,Neutered Male,27.0,Border Collie Mix,Black/White
Adoption,Dog,Intact Female,22.5,Labrador Retriever Mix,Black/White
Return_to_owner,Dog,Spayed Female,416.0,other,White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,4.5,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,Dog,Spayed Female,22.5,Labrador Retriever Mix,White
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Male,18.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,White/Tan
Adoption,Dog,Neutered Male,104.0,other,Black/Brown
Transfer,Cat,Spayed Female,572.0,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,9.0,other,Tricolor
Transfer,Cat,Neutered Male,9.0,Domestic Shorthair Mix,White/Black
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,4.5,other,other
Return_to_owner,Dog,Spayed Female,364.0,other,White/Tan
Transfer,Cat,Intact Male,0.5714285714285714,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,208.0,other,other
Transfer,Dog,Spayed Female,104.0,Australian Cattle Dog Mix,Tan/White
Return_to_owner,Dog,Spayed Female,52.0,other,White/Black
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Brown Brindle/White
Transfer,Cat,Intact Female,4.0,Domestic Medium Hair Mix,Brown Tabby
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,104.0,other,other
Transfer,Cat,Intact Male,45.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Spayed Female,208.0,German Shepherd Mix,White
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Spayed Female,312.0,other,White/Tan
Adoption,Dog,Spayed Female,40.5,Miniature Poodle Mix,Black/White
Adoption,Dog,Spayed Female,156.0,other,Red
Adoption,Cat,Spayed Female,36.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Spayed Female,45.0,other,other
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,other
Adoption,Dog,Neutered Male,52.0,Catahoula Mix,other
Adoption,Dog,Neutered Male,52.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Neutered Male,13.5,Labrador Retriever Mix,Yellow
Return_to_owner,Dog,Intact Male,312.0,Chihuahua Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,104.0,other,Tan/White
Adoption,Dog,Spayed Female,260.0,other,Tan/White
Euthanasia,Cat,Neutered Male,624.0,Domestic Longhair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,104.0,German Shepherd Mix,Sable
Adoption,Dog,Neutered Male,312.0,Labrador Retriever Mix,Black/White
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,36.0,other,Tricolor
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Female,780.0,Domestic Shorthair Mix,Black
Transfer,Dog,Intact Female,3.0,other,Chocolate/White
Adoption,Dog,Neutered Male,22.5,other,White/Brown
Adoption,Dog,Neutered Male,104.0,other,Black/White
Adoption,Dog,Spayed Female,104.0,other,Brown Brindle/White
Return_to_owner,Dog,Intact Male,104.0,Australian Shepherd Mix,other
Adoption,Dog,Spayed Female,104.0,Labrador Retriever Mix,Tan/White
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Spayed Female,52.0,Pit Bull Mix,other
Transfer,Cat,Intact Male,104.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,208.0,Chihuahua Shorthair Mix,White/Brown
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Intact Male,9.0,Domestic Shorthair Mix,Black
Transfer,Dog,Spayed Female,52.0,Rat Terrier Mix,White/Black
Adoption,Dog,Spayed Female,9.0,other,Brown/White
Adoption,Dog,Spayed Female,52.0,other,Black/White
Adoption,Dog,Spayed Female,156.0,Cairn Terrier Mix,Buff
Euthanasia,Dog,Neutered Male,468.0,other,Black
Return_to_owner,Cat,Spayed Female,104.0,Domestic Shorthair Mix,White/Black
Transfer,Dog,Spayed Female,260.0,other,Black/White
Return_to_owner,Dog,Intact Male,104.0,Chihuahua Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,104.0,other,Brown
Return_to_owner,Dog,Neutered Male,364.0,other,Brown/Black
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Cat,Spayed Female,312.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Tan/Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Spayed Female,312.0,other,Brown Brindle
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Brown/Black
Adoption,Cat,Neutered Male,364.0,Siamese Mix,other
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Neutered Male,156.0,other,Red
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,364.0,other,other
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,other
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,Brown/White
Return_to_owner,Dog,Intact Female,22.5,Boxer Mix,Black/White
Transfer,Dog,Neutered Male,208.0,other,Black/White
Return_to_owner,Dog,Neutered Male,104.0,Labrador Retriever Mix,Buff
Transfer,Dog,Spayed Female,364.0,other,Tricolor
Adoption,Dog,Neutered Male,52.0,other,Brown
Transfer,Cat,Neutered Male,4.5,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Neutered Male,4.5,other,Black/Brown
Adoption,Cat,Neutered Male,9.0,other,White/Black
Transfer,Cat,Intact Female,156.0,Domestic Shorthair Mix,Blue
Transfer,Dog,Spayed Female,208.0,other,Tan/White
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,Black/White
Adoption,Dog,Spayed Female,104.0,other,Black/White
Transfer,Dog,Spayed Female,520.0,other,Buff
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,520.0,Chihuahua Shorthair Mix,Tan
Adoption,Cat,Spayed Female,104.0,Domestic Longhair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,364.0,Rat Terrier Mix,White/Black
Adoption,Dog,Neutered Male,52.0,other,Tan/Black
Transfer,Dog,Neutered Male,260.0,Pit Bull Mix,Brown Brindle/White
Return_to_owner,Dog,Spayed Female,312.0,Chihuahua Shorthair Mix,other
Euthanasia,Dog,Spayed Female,364.0,Pit Bull Mix,Tan/White
Adoption,Dog,Neutered Male,52.0,Chihuahua Longhair Mix,Black
Adoption,Dog,Neutered Male,52.0,other,White/Brown
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Neutered Male,260.0,other,Black/Brown
Return_to_owner,Dog,Spayed Female,104.0,Rottweiler Mix,Black/Tan
Adoption,Dog,Neutered Male,45.0,Siberian Husky Mix,other
Transfer,Cat,Intact Female,13.5,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,40.5,other,Fawn/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black/White
Transfer,Cat,Spayed Female,260.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Spayed Female,36.0,Chihuahua Shorthair Mix,Chocolate/White
Transfer,Dog,Intact Male,52.0,Cairn Terrier Mix,Cream
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Cat,Neutered Male,13.5,Domestic Shorthair,Black/White
Return_to_owner,Dog,Intact Male,728.0,Chihuahua Shorthair Mix,Chocolate/White
Return_to_owner,Dog,Neutered Male,364.0,Labrador Retriever Mix,Chocolate
Adoption,Dog,Neutered Male,104.0,other,other
Transfer,Dog,Spayed Female,27.0,other,Brown Brindle
Adoption,Dog,Neutered Male,49.5,Australian Shepherd Mix,Tan/White
Adoption,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Tan/White
Transfer,Cat,Intact Female,9.0,Domestic Longhair Mix,Black/White
Adoption,Dog,Neutered Male,52.0,other,Black/White
Euthanasia,Cat,Intact Female,4.0,Siamese Mix,other
Euthanasia,Dog,Neutered Male,208.0,Chihuahua Shorthair Mix,White/Brown
Adoption,Cat,Neutered Male,416.0,Domestic Medium Hair Mix,Orange Tabby
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Calico
Adoption,Dog,Spayed Female,9.0,Australian Cattle Dog Mix,Brown/White
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Tortie
Euthanasia,Dog,Intact Male,104.0,other,Tan/Black
Return_to_owner,Dog,Neutered Male,312.0,Dachshund Mix,Brown
Transfer,Dog,Spayed Female,49.5,Boxer Mix,Brown Brindle/White
Transfer,Dog,Spayed Female,52.0,Labrador Retriever Mix,Tan/White
Transfer,Dog,Neutered Male,208.0,other,other
Adoption,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Blue/White
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,Red
Adoption,Dog,Spayed Female,9.0,Australian Cattle Dog Mix,other
Adoption,Cat,Neutered Male,27.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,416.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Brown/White
Transfer,Dog,Intact Male,9.0,Australian Cattle Dog Mix,White/Brown
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,208.0,German Shepherd Mix,Brown
Transfer,Cat,Neutered Male,260.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,104.0,other,Chocolate/White
Transfer,Cat,Intact Female,27.0,Domestic Medium Hair Mix,Calico
Transfer,Dog,Spayed Female,104.0,Miniature Poodle Mix,other
Return_to_owner,Dog,Spayed Female,520.0,other,Sable
Transfer,Cat,Intact Male,27.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Female,9.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Neutered Male,27.0,other,Sable
Return_to_owner,Dog,Neutered Male,416.0,Chihuahua Shorthair Mix,Tricolor
Adoption,Dog,Neutered Male,27.0,Labrador Retriever Mix,Buff
Transfer,Cat,Intact Male,13.5,Siamese Mix,Seal Point
Adoption,Dog,Spayed Female,52.0,other,Black/Tan
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Brown/Black
Adoption,Dog,Neutered Male,9.0,Boxer Mix,Tricolor
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Cat,Neutered Male,40.5,Domestic Shorthair Mix,other
Transfer,Dog,Spayed Female,208.0,Rat Terrier Mix,Black/White
Adoption,Dog,Neutered Male,18.0,other,Red/White
Transfer,Cat,Intact Male,0.42857142857142855,Domestic Shorthair Mix,White
Transfer,Dog,Intact Male,312.0,other,other
Adoption,Dog,Spayed Female,9.0,other,Black/White
Transfer,Cat,Intact Female,36.0,Domestic Shorthair Mix,Blue Tabby
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Female,18.0,Domestic Shorthair Mix,Black
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Intact Female,104.0,Pit Bull Mix,other
Adoption,Dog,Neutered Male,18.0,other,Tricolor
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,13.5,Siamese Mix,other
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Neutered Male,260.0,other,Brown Brindle
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,Fawn/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,45.0,Chihuahua Shorthair Mix,Tan/White
Transfer,Dog,Neutered Male,104.0,other,Black/White
Adoption,Dog,Spayed Female,45.0,other,White
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Blue
Return_to_owner,Dog,Neutered Male,52.0,other,other
Adoption,Cat,Spayed Female,31.5,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Brown/White
Transfer,Dog,Spayed Female,364.0,other,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Cat,Neutered Male,624.0,Domestic Shorthair Mix,Black/White
Transfer,Dog,Intact Female,156.0,Australian Cattle Dog Mix,Tricolor
Transfer,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,104.0,other,other
Return_to_owner,Dog,Intact Female,624.0,Labrador Retriever Mix,Yellow
Adoption,Dog,Spayed Female,52.0,other,Black
Transfer,Dog,Neutered Male,156.0,Labrador Retriever Mix,Yellow
Adoption,Cat,Spayed Female,4.5,Domestic Shorthair Mix,Calico
Return_to_owner,Dog,Spayed Female,40.5,Rat Terrier Mix,Tricolor
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Black/White
Euthanasia,Dog,Neutered Male,104.0,other,Tan/White
Return_to_owner,Dog,Neutered Male,364.0,American Bulldog Mix,White
Transfer,Dog,Neutered Male,18.0,Labrador Retriever Mix,Blue
Adoption,Cat,Neutered Male,520.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Spayed Female,260.0,Chihuahua Shorthair Mix,Tan
Adoption,Dog,Spayed Female,104.0,other,Chocolate/White
Adoption,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,Tan/White
Adoption,Cat,Neutered Male,22.5,Siamese Mix,other
Adoption,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Black/White
Transfer,Dog,Intact Male,52.0,other,other
Transfer,Cat,Neutered Male,18.0,Domestic Medium Hair Mix,Black
Transfer,Dog,Spayed Female,104.0,other,White/Tan
Euthanasia,Dog,Intact Male,156.0,Rottweiler Mix,Black/Tan
Transfer,Cat,Intact Male,4.0,Domestic Shorthair,Blue
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Tortie
Transfer,Dog,Spayed Female,104.0,other,Black
Adoption,Dog,Neutered Male,52.0,Boxer Mix,Brown/White
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,104.0,Jack Russell Terrier Mix,White/Tan
Return_to_owner,Dog,Intact Male,40.5,other,Red/White
Adoption,Dog,Neutered Male,156.0,other,Brown
Euthanasia,Cat,Intact Female,4.5,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,104.0,other,Tricolor
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,18.0,other,other
Return_to_owner,Dog,Intact Male,156.0,other,Brown Brindle
Transfer,Dog,Neutered Male,52.0,Pit Bull Mix,Brown/White
Transfer,Cat,Intact Male,4.5,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,White/Brown
Transfer,Dog,Neutered Male,9.0,Labrador Retriever Mix,Black/Tan
Return_to_owner,Dog,Spayed Female,468.0,other,Brown
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Brown
Adoption,Dog,Spayed Female,27.0,other,White/Blue
Adoption,Dog,Neutered Male,13.5,other,Tricolor
Adoption,Dog,Neutered Male,4.5,other,Chocolate/White
Transfer,Dog,Intact Female,52.0,Yorkshire Terrier Mix,Black/Tan
